Data is Unweighted,,,Q1. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2.,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"Have you had any training, learning or development (paid for or provided by your organisation) in the following areas?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To what extent do you agree or disagree with the following statements? My training, learning and development has helped me to.... ",,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: types, areas and job-relevance of training, learning and development",,,a) Health and safety training,,,,,b) Equality and diversity training,,,,,"c) How to prevent or handle violence and aggression to staff, patients / service users.",,,,,"d) Infection control (e.g. Guidance on handwashing, MRSA, waste management, disposal of sharps/needles)",,,,,e) How to handle confidential information about patients / service users.,,,,,f) How to deliver a good patient / service user experience,,,,,"g) Any other job-relevant training, learning or development",,,,,a)...do my job more effectively,,,,,,b)...stay up-to-date with professional requirements,,,,,,c)...deliver a better patient / service user experience,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Q36,68,23,8,1,498,50,32,17,1,494,29,31,33,7,485,65,22,8,6,499,74,19,6,2,498,53,26,18,4,493,77,13,10,1,487,6,3,14,53,25,501,5,3,12,54,26,498,6,3,16,53,23,498,
RFS,Chesterfield Royal Hospital NHS Foundation Trust,Q33,74,15,11,0,386,31,31,34,4,373,22,28,39,11,374,89,8,2,1,389,83,10,5,2,384,36,16,39,9,374,70,11,18,1,380,3,8,21,54,14,388,3,5,16,57,19,388,4,5,30,47,14,386,
RLN,City Hospitals Sunderland NHS Foundation Trust,Q30,79,16,6,0,359,42,40,15,3,352,25,30,32,12,353,88,9,2,1,359,85,11,3,1,357,38,23,31,8,355,78,10,11,1,353,5,5,22,49,19,362,5,3,14,57,21,362,5,5,28,43,19,358,
RDE,Colchester Hospital University NHS Foundation Trust,Q35,71,23,5,1,320,47,30,20,3,316,35,28,28,9,312,62,18,9,11,313,67,19,11,3,315,75,11,12,3,313,77,11,11,2,312,4,6,22,54,14,324,5,4,19,57,15,320,4,7,28,48,14,318,
RJR,Countess of Chester Hospital NHS Foundation Trust,Q31,73,21,6,0,353,62,20,16,3,347,40,22,27,10,346,64,21,7,7,349,74,16,8,3,353,47,19,26,8,344,73,13,13,1,349,4,6,22,53,15,360,5,4,17,58,16,359,4,4,27,52,14,360,
RXP,County Durham and Darlington NHS Foundation Trust,Q30,85,10,5,0,439,62,19,17,2,418,28,30,36,6,411,87,7,3,3,436,87,8,4,1,432,52,20,24,4,417,76,10,12,1,419,5,8,24,50,14,440,6,6,16,55,18,437,6,9,26,46,13,433,
RJ6,Croydon Health Services NHS Trust,Q36,87,10,3,0,402,36,42,20,2,387,36,35,21,8,386,82,11,4,3,401,83,12,5,0,401,44,27,22,7,388,76,13,12,0,391,6,8,21,46,20,401,6,5,18,45,25,401,6,6,26,41,21,404,
RN7,Dartford And Gravesham NHS Trust,Q37,68,29,3,1,332,48,38,13,1,317,44,37,13,7,326,58,28,5,9,328,58,34,6,2,326,42,26,21,10,323,69,19,11,1,327,6,4,19,54,16,330,6,4,16,53,20,331,5,6,22,51,16,329,
RTG,Derby Hospitals NHS Foundation Trust,Q33,68,24,7,0,418,51,25,22,3,405,27,35,32,6,408,73,14,4,8,418,67,25,6,2,415,33,24,35,8,401,72,14,13,1,403,7,5,20,50,19,417,8,5,15,53,18,419,7,5,26,47,15,412,
RP5,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,Q32,53,26,20,1,451,27,30,40,3,433,12,22,59,7,428,61,18,14,7,452,43,26,26,5,440,29,20,44,7,437,66,19,15,1,435,8,5,21,48,18,459,8,5,17,51,19,454,7,7,25,45,16,449,
RBD,Dorset County Hospital NHS Foundation Trust,Q39,68,21,10,2,413,70,26,5,0,411,28,21,36,15,395,82,12,3,2,417,79,16,4,1,412,38,16,37,9,402,71,11,16,1,403,5,7,26,48,14,418,5,6,17,57,15,417,5,7,32,44,13,416,
RC3,Ealing Hospital NHS Trust,Q36,64,26,9,1,421,48,37,13,1,409,25,38,30,7,401,61,23,10,5,423,60,25,12,2,418,37,22,32,9,411,67,17,14,1,418,6,3,20,50,22,425,5,3,13,54,25,426,6,3,23,47,22,422,
RWH,East And North Hertfordshire NHS Trust,Q35,75,21,4,0,340,74,20,5,0,348,57,33,9,1,339,80,13,4,3,340,86,9,5,1,344,52,17,24,7,329,76,10,13,1,332,6,8,19,47,21,346,7,4,14,53,23,346,5,8,23,44,20,343,
RJN,East Cheshire NHS Trust,Q31,79,14,5,1,345,71,20,8,1,348,31,33,26,10,347,80,12,5,3,352,90,7,3,1,350,44,21,30,5,346,77,9,14,1,348,4,6,23,49,17,347,4,3,15,58,19,345,5,6,28,47,15,344,
RVV,East Kent Hospitals University NHS Foundation Trust,Q37,82,11,7,0,389,68,25,7,1,385,24,38,28,10,379,87,8,4,2,389,78,16,5,1,390,40,22,32,6,386,74,11,14,2,385,6,8,25,46,14,388,7,8,20,47,18,388,6,7,29,42,15,388,
RXR,East Lancashire Hospitals NHS Trust,Q31,75,19,6,1,379,58,32,9,1,384,40,36,20,4,382,76,12,3,9,383,67,22,8,3,380,52,20,23,5,376,83,9,7,1,382,5,6,14,55,20,386,5,4,12,55,25,387,5,5,19,51,20,384,
RXC,East Sussex Healthcare NHS Trust,Q37,70,21,8,1,397,51,34,13,2,390,23,32,32,13,387,81,12,4,3,401,68,20,10,3,398,31,15,41,13,384,70,11,17,3,393,5,10,23,44,18,405,5,7,16,54,18,399,5,9,30,41,15,394,
RVR,Epsom And St Helier University Hospitals NHS Trust,Q36,67,27,5,1,427,49,42,8,1,423,20,38,33,9,422,79,15,3,4,432,66,25,7,2,430,34,25,35,7,414,76,13,9,2,414,6,7,20,46,20,430,7,7,11,53,23,433,6,8,24,42,20,431,
RDU,Frimley Park Hospital NHS Foundation Trust,Q37,78,17,4,1,485,57,27,14,3,473,25,32,28,16,475,70,14,5,10,481,78,14,4,4,478,44,20,23,13,471,69,13,14,3,474,5,6,17,48,24,481,6,5,14,52,24,481,5,6,20,47,22,473,
RR7,Gateshead Health NHS Foundation Trust,Q30,78,16,6,0,403,70,22,7,2,398,35,32,23,10,394,83,12,3,3,403,76,14,7,4,397,56,17,20,7,393,76,13,11,1,392,6,5,17,53,19,406,6,5,17,53,20,406,5,5,22,50,19,401,
RLT,George Eliot Hospital NHS Trust,Q34,92,6,2,0,387,61,23,14,1,369,55,23,18,4,379,84,8,4,4,384,83,9,5,3,381,63,16,16,5,375,78,8,11,3,379,5,4,21,55,16,388,6,3,13,59,20,389,5,4,26,49,17,384,
RTE,Gloucestershire Hospitals NHS Foundation Trust,Q39,80,14,6,0,481,69,22,8,1,481,48,31,12,9,477,85,11,2,2,485,82,14,3,1,485,57,12,26,6,475,77,9,13,1,477,5,8,27,47,11,484,6,5,18,57,14,486,5,10,31,43,11,483,
RN3,Great Western Hospitals NHS Foundation Trust,Q39,82,13,5,0,503,78,14,7,1,498,61,18,15,5,499,85,10,3,2,503,85,10,4,1,499,56,15,24,5,495,83,8,8,2,503,4,9,22,50,15,504,4,6,14,55,21,504,4,9,27,44,16,503,
RJ1,Guy's and St Thomas' NHS Foundation Trust,Q36,68,22,8,3,343,37,47,13,2,340,22,36,32,10,330,72,16,5,6,346,49,30,15,6,339,38,24,30,8,337,72,13,13,2,342,3,4,15,48,29,345,5,3,15,48,30,341,4,4,22,41,29,339,
RN5,Hampshire Hospitals NHS Foundation Trust,Q38,76,17,6,2,370,66,22,10,2,367,43,29,22,6,365,76,18,4,2,370,72,18,7,3,371,36,22,33,9,360,69,13,15,3,360,5,4,24,51,15,368,5,6,16,54,20,372,4,6,26,49,16,364,
RCD,Harrogate and District NHS Foundation Trust,Q32,76,16,7,1,491,68,23,9,1,490,25,31,35,9,479,81,14,4,2,496,78,16,5,0,496,49,20,24,6,485,80,9,9,1,486,6,10,21,46,17,496,6,6,14,53,21,496,5,8,25,45,17,494,
RR1,Heart of England NHS Foundation Trust,Q34,56,27,15,2,351,19,33,42,6,340,17,27,47,9,340,52,27,12,9,350,31,34,28,7,345,24,23,45,9,339,60,15,21,4,345,6,6,24,48,16,353,6,5,16,53,20,348,5,8,26,46,15,343,
RD7,Heatherwood and Wexham Park Hospitals NHS Foundation Trust,Q38,63,26,11,1,331,51,29,19,2,318,38,37,21,5,320,58,24,9,8,321,71,22,5,3,329,50,25,21,4,319,71,14,12,2,322,6,5,22,49,18,330,6,5,15,55,19,330,6,5,22,50,17,324,
RQQ,Hinchingbrooke Health Care NHS Trust,Q35,65,23,11,1,443,36,30,31,3,427,19,38,36,7,435,70,21,5,4,442,76,17,7,1,445,37,24,34,4,431,68,14,17,2,435,4,7,24,47,18,444,5,5,20,51,19,446,4,7,24,45,19,444,
RQX,Homerton University Hospital NHS Foundation Trust,Q36,76,20,4,0,373,51,35,13,0,367,45,33,19,3,368,75,18,4,3,371,69,24,6,1,370,50,25,20,5,369,80,13,6,1,367,8,4,17,44,27,373,7,2,14,48,29,371,7,3,20,43,27,370,
RWA,Hull And East Yorkshire Hospitals NHS Trust,Q32,65,28,7,0,291,40,40,20,0,282,26,39,26,8,287,63,24,6,7,286,77,16,5,2,288,32,21,40,7,278,70,15,14,1,285,4,6,24,47,19,288,6,5,14,53,22,283,5,6,27,44,18,281,
RYJ,Imperial College Healthcare NHS Trust,Q36,62,30,8,0,402,42,28,26,3,398,34,31,30,5,393,70,18,5,7,402,76,16,6,2,395,51,20,21,8,393,71,14,13,2,399,11,5,14,49,22,405,10,4,11,50,25,407,10,5,16,45,24,401,
RGQ,Ipswich Hospital NHS Trust,Q35,77,16,5,2,400,67,27,7,0,400,36,32,23,9,400,80,14,2,3,403,88,11,1,0,401,45,28,22,5,398,77,13,9,1,397,4,8,25,49,15,404,4,6,16,55,19,403,5,6,32,44,14,400,
R1F1,Isle of Wight NHS Primary Care Trust (acute sector),Q38,79,19,2,0,427,56,29,14,1,418,34,26,30,10,417,82,12,3,3,426,78,14,5,3,428,49,20,22,9,415,85,8,6,1,422,4,7,21,49,19,425,4,7,11,56,23,423,4,7,26,45,18,421,
RGP,James Paget University Hospitals NHS Foundation Trust,Q35,68,23,8,1,377,58,31,10,1,378,45,26,23,6,377,66,15,7,12,376,82,14,3,1,377,47,20,27,5,364,71,13,15,1,369,5,6,22,51,16,377,4,4,14,60,17,379,4,6,26,49,14,379,
RNQ,Kettering General Hospital NHS Foundation Trust,Q33,85,11,4,0,404,83,12,5,1,397,45,29,17,10,391,84,12,3,2,399,84,9,5,2,398,53,13,25,10,397,70,15,15,1,393,8,5,18,49,19,402,9,2,17,49,23,402,8,4,24,47,17,402,
RJZ,King's College Hospital NHS Foundation Trust,Q36,65,27,7,1,393,44,44,12,0,388,27,36,33,5,387,70,16,8,6,394,55,31,12,1,386,41,25,30,4,390,74,14,9,3,387,6,5,15,44,31,397,6,4,10,49,30,399,7,5,19,41,29,391,
RAX,Kingston Hospital NHS Trust,Q36,88,9,3,0,383,67,15,15,3,371,42,19,28,11,372,83,9,3,5,382,81,11,7,1,379,56,12,23,9,372,73,14,11,2,376,6,6,20,45,23,378,7,4,11,51,26,381,6,5,24,42,23,376,
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Q31,74,20,5,1,462,53,28,18,1,455,35,36,24,4,451,70,19,6,5,461,77,15,5,3,464,48,19,23,10,455,69,15,15,2,451,6,4,20,53,17,462,7,3,19,53,18,464,7,4,25,48,16,461,
RR8,Leeds Teaching Hospitals NHS Trust,Q32,72,18,9,1,376,58,24,16,2,366,32,25,33,9,365,83,13,2,3,374,83,12,4,2,370,42,14,38,6,370,75,12,12,2,365,6,10,21,46,16,383,6,6,16,53,19,382,7,9,30,40,14,378,
RJ2,Lewisham Healthcare NHS Trust,Q36,72,27,2,0,260,66,32,3,0,262,52,38,8,1,258,73,23,2,2,260,70,26,4,0,260,44,30,23,3,254,83,8,6,3,254,6,3,16,50,26,259,6,2,9,51,31,259,5,4,15,51,25,254,
RC9,Luton and Dunstable Hospital NHS Foundation Trust,Q35,64,28,7,1,379,52,38,9,1,372,33,30,32,5,371,64,27,5,4,379,66,27,5,2,377,49,25,19,6,372,73,15,11,1,370,6,5,17,51,20,374,7,3,12,59,21,372,6,4,20,53,16,375,
RWF,Maidstone And Tunbridge Wells NHS Trust,Q37,85,11,4,0,503,64,17,17,2,494,35,20,36,9,489,86,10,2,2,501,84,10,4,3,501,56,14,22,8,489,77,9,12,1,491,5,5,17,53,19,501,5,5,13,53,23,501,5,5,24,49,17,503,
RPA,Medway NHS Foundation Trust,Q37,68,28,3,0,354,49,39,11,1,348,32,43,18,8,348,82,15,1,2,357,81,14,4,1,356,39,28,24,8,347,68,14,16,1,346,4,7,26,51,13,355,4,6,17,58,15,354,5,5,29,48,14,350,
RBT,Mid Cheshire Hospitals NHS Foundation Trust,Q31,69,22,8,1,542,45,31,22,2,529,39,30,21,10,530,64,26,5,5,535,73,17,8,2,532,39,20,32,9,519,75,13,11,1,518,4,4,20,54,17,541,4,3,17,56,19,538,4,6,24,51,16,538,
RQ8,Mid Essex Hospital Services NHS Trust,Q35,70,25,5,0,249,45,39,15,1,244,20,24,47,9,246,78,16,3,3,251,70,17,10,3,249,40,22,31,6,246,72,13,14,1,245,6,5,26,47,16,250,5,4,16,56,18,247,6,6,26,50,12,246,
